127.0.0.1 - - [09/Apr/2022:17:48:07 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:48:08 +0900] "GET /NewJSP2/Ex1_Script_trit.jsp HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:48:40 +0900] "GET /NewJSP2/Ex1_Script_trit.jsp HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:48:54 +0900] "GET /NewJSP2/Ex1_Script_trit.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:52:44 +0900] "GET /NewJSP2/expression.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:56:58 +0900] "GET /NewJSP2/Ex3_runerrorhandle.jsp HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [09/Apr/2022:18:00:04 +0900] "GET /NewJSP2/Ex4_declaration.jsp HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [09/Apr/2022:18:03:01 +0900] "GET /NewJSP2/Ex5_membervar.jsp HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [09/Apr/2022:18:03:07 +0900] "GET /NewJSP2/Ex5_membervar.jsp HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [09/Apr/2022:18:03:09 +0900] "GET /NewJSP2/Ex5_membervar.jsp HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [09/Apr/2022:18:03:34 +0900] "GET /NewJSP2/Ex5_membervar.jsp HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [09/Apr/2022:18:03:38 +0900] "GET /NewJSP2/Ex5_membervar.jsp HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [09/Apr/2022:18:03:39 +0900] "GET /NewJSP2/Ex5_membervar.jsp HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [09/Apr/2022:18:08:16 +0900] "GET /NewJSP2/Ex6_comment.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [09/Apr/2022:18:11:53 +0900] "GET /NewJSP2/Ex7_import.jsp HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [09/Apr/2022:18:18:26 +0900] "GET /NewJSP2/Ex8_errorpage.jsp HTTP/1.1" 500 386
0:0:0:0:0:0:0:1 - - [09/Apr/2022:18:24:06 +0900] "GET /NewJSP2/Ex9_include.jsp HTTP/1.1" 500 2611
0:0:0:0:0:0:0:1 - - [09/Apr/2022:18:24:56 +0900] "GET /NewJSP2/header.jsp HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [09/Apr/2022:18:26:37 +0900] "GET /NewJSP2/Ex9_include.jsp HTTP/1.1" 500 2611
0:0:0:0:0:0:0:1 - - [09/Apr/2022:18:28:33 +0900] "GET /NewJSP2/Ex9_include.jsp HTTP/1.1" 500 2611
0:0:0:0:0:0:0:1 - - [09/Apr/2022:18:29:12 +0900] "GET /NewJSP2/Ex9_include.jsp HTTP/1.1" 500 2611
0:0:0:0:0:0:0:1 - - [09/Apr/2022:18:30:33 +0900] "GET /NewJSP2/Ex9_include.jsp HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [09/Apr/2022:18:31:57 +0900] "GET /NewJSP2/Ex9_include.jsp HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [09/Apr/2022:18:35:56 +0900] "GET /NewJSP2/Ex9_include.jsp HTTP/1.1" 200 528
