127.0.0.1 - - [26/Apr/2022:11:17:05 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Apr/2022:11:17:05 +0900] "GET /week9/ex.html HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [26/Apr/2022:11:17:12 +0900] "POST /week9/ex1.jsp HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [26/Apr/2022:11:18:19 +0900] "GET /week9/ex.html HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [26/Apr/2022:11:18:24 +0900] "POST /week9/ex1.jsp HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [26/Apr/2022:11:19:29 +0900] "GET /week9/ex.html HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [26/Apr/2022:11:21:30 +0900] "GET /week9/ex.html HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [26/Apr/2022:11:30:35 +0900] "GET /week9/ex2_1.html HTTP/1.1" 200 449
0:0:0:0:0:0:0:1 - - [26/Apr/2022:11:30:41 +0900] "POST /week9/ex2.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [26/Apr/2022:11:31:17 +0900] "GET /week9/ex2_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:11:31:23 +0900] "POST /week9/ex2.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [26/Apr/2022:11:32:06 +0900] "GET /week9/ex2_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:11:32:12 +0900] "POST /week9/ex2.jsp HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [26/Apr/2022:11:47:06 +0900] "GET /week9/ex2_2.html HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [26/Apr/2022:11:47:12 +0900] "POST /week9/ex2.jsp HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [26/Apr/2022:11:47:40 +0900] "GET /week9/ex2_2.html HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [26/Apr/2022:11:47:44 +0900] "POST /week9/ex2.jsp HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [26/Apr/2022:11:57:46 +0900] "GET /week9/ex2_2.html HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [26/Apr/2022:11:57:53 +0900] "POST /week9/ex2.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [26/Apr/2022:11:58:03 +0900] "POST /week9/ex2.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [26/Apr/2022:11:58:47 +0900] "GET /week9/ex2.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [26/Apr/2022:11:58:53 +0900] "GET /week9/ex2_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:11:58:59 +0900] "POST /week9/ex2.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [26/Apr/2022:12:00:04 +0900] "GET /week9/ex2_2.html HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [26/Apr/2022:12:00:09 +0900] "POST /week9/ex2.jsp HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [26/Apr/2022:12:00:40 +0900] "GET /week9/ex2_2.html HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [26/Apr/2022:12:00:44 +0900] "POST /week9/ex2.jsp HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [26/Apr/2022:12:10:44 +0900] "GET /week9/ex.html HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [26/Apr/2022:12:11:10 +0900] "POST /week9/ex1.jsp HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [26/Apr/2022:12:13:16 +0900] "GET /week9/ex2_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:12:13:33 +0900] "POST /week9/ex2.jsp HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [26/Apr/2022:12:14:02 +0900] "GET /week9/ex3.jsp HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [26/Apr/2022:12:14:07 +0900] "GET /week9/ex3.jsp HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [26/Apr/2022:12:14:12 +0900] "GET /week9/ex3.jsp HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [26/Apr/2022:12:14:17 +0900] "GET /week9/ex3.jsp HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [26/Apr/2022:12:14:22 +0900] "GET /week9/ex3.jsp HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [26/Apr/2022:12:14:27 +0900] "GET /week9/ex3.jsp HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [26/Apr/2022:12:14:32 +0900] "GET /week9/ex3.jsp HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [26/Apr/2022:12:14:37 +0900] "GET /week9/ex3.jsp HTTP/1.1" 200 190
